Target,AdvLoc,Adj,Phrasal
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,1,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,1,0
 утром ,0,0,0
 утром ,0,1,0
 утром ,0,1,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,1,1
 утром ,0,1,0
 утром ,0,1,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,1,0
 утром ,0,1,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,1,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,1,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,1
 утром ,0,0,0
 утром ,0,1,1
 утром ,0,0,0
 утром ,0,1,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,1,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,1,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,1,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,1,1,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,1,0,0
 утром ,1,0,0
 утром ,1,0,0
 утром ,1,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,1,0,0
 утром ,1,0,0
 утром ,1,0,0
 утром ,1,0,0
 утром ,1,0,0
 утром ,1,0,0
 утром ,1,0,0
 утром ,1,0,0
 утром ,1,0,0
 утром ,0,0,0
 утром ,1,0,0
 утром ,0,0,0
 утром ,1,0,0
 утром ,1,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,1,0,0
 утром ,1,0,0
 утром ,0,0,0
 утром ,1,0,0
 утром ,1,0,0
 утром ,1,0,0
 утром ,0,0,0
 утром ,1,0,0
 утром ,0,0,0
 утром ,1,0,0
 утром ,1,0,0
 утром ,1,0,0
 утром ,0,0,0
 утром ,0,0,0
 утром ,1,1,0
 утром ,1,1,0
 утром ,1,0,0
 утром ,0,0,0
утром,0,1,0
