Target,AdvTime,AdvLoc,VGram,Neg,Adj,Phrasal
утром ,1,0,pres,0,0,0
утром ,1,0,past,0,0,0
утром ,1,0,past,1,0,0
утром ,1,0,past,0,0,0
утром ,0,1,pres,0,0,0
утром ,0,0,inf,0,0,0
утром ,1,0,past,0,0,0
утром ,0,0,past,0,0,0
утром ,1,0,past,0,0,0
утром ,1,0,past,0,0,0
утром ,0,0,past,0,1,0
утром ,0,0,past,0,0,0
утром ,0,0,past,0,1,0
утром ,0,0,past,1,1,0
утром ,1,0,past,0,0,0
утром ,0,0,predicative,1,0,0
утром ,1,0,predicative,0,0,0
утром ,0,0,past,0,0,0
утром ,0,0,past,1,0,0
утром ,0,0,past,1,0,0
утром ,0,0,past,0,0,0
утром ,0,0,predicative,1,0,0
утром ,1,0,past,0,0,0
утром ,1,0,past,0,0,0
утром ,0,0,past,0,0,0
утром ,1,0,past,0,0,0
утром ,0,0,past,0,0,0
утром ,1,0,past,0,0,0
утром ,1,0,past,0,0,0
утром ,0,0,converb,0,1,1
утром ,0,0,pres,0,1,0
утром ,0,0,predicative,0,1,0
утром ,1,0,past,0,0,0
утром ,0,0,past,0,0,0
утром ,0,0,predicative,0,0,0
утром ,0,0,past,0,1,0
утром ,0,0,past,0,1,0
утром ,1,0,past,0,0,0
утром ,1,0,past,0,0,0
утром ,0,0,pres,0,0,0
утром ,0,0,inf,0,0,0
утром ,0,0,predicative,0,0,0
утром ,0,0,pres,0,0,0
утром ,0,0,past,0,0,0
утром ,1,0,inf,0,0,0
утром ,1,0,predicative,0,0,0
утром ,0,0,past,0,0,0
утром ,0,0,predicative,1,0,0
утром ,1,0,pres,0,0,0
утром ,0,0,past,0,1,0
утром ,0,0,past,0,0,0
утром ,0,0,predicative,0,0,0
утром ,1,0,pres,0,0,0
утром ,0,0,past,0,0,0
утром ,1,0,past,0,0,0
утром ,0,0,past,0,0,0
утром ,0,0,inf,1,0,0
утром ,1,0,predicative,0,0,0
утром ,0,0,past,0,0,0
