,Target,AdvTime,AdvLoc,V,Neg,VGram,Adj,Phrasal
0,0,0,0,585,1,8,0,92
1,0,0,0,0,0,7,0,1194
2,0,0,63,0,0,7,0,1193
3,0,0,0,0,0,7,0,1192
4,0,0,0,0,0,7,19,1191
5,0,58,0,0,0,7,0,1190
6,0,0,0,0,0,7,19,1189
7,0,105,0,0,0,7,0,1188
8,0,0,0,0,0,7,0,1187
9,0,0,0,724,0,5,0,1186
10,0,0,0,0,0,7,19,1185
11,0,1,0,1373,0,5,19,1184
12,0,2,0,64,0,5,19,1195
13,0,3,0,970,0,5,19,1183
14,0,11,0,1223,0,5,19,1181
15,0,15,116,555,0,5,0,1180
16,0,15,0,1010,0,8,19,1179
17,0,16,0,1023,0,3,19,1178
18,0,17,0,553,0,5,19,1177
19,0,0,0,91,0,1,0,1176
20,0,25,66,70,0,5,0,1175
21,0,26,0,557,0,5,19,1174
22,0,67,0,0,0,7,0,1173
23,0,29,0,308,0,5,19,1172
24,0,0,0,42,0,5,19,1171
25,0,0,0,9,0,5,0,1182
26,0,0,0,761,0,5,0,1197
27,0,0,0,71,0,5,19,1210
28,0,0,0,69,0,5,19,1198
29,0,0,0,741,0,5,19,1222
30,0,0,0,15,0,5,0,1221
31,0,0,0,16,0,5,0,1220
32,0,0,0,18,0,5,0,1219
33,0,0,0,22,0,5,19,1218
34,0,0,0,29,0,1,19,1217
35,0,103,0,38,0,5,19,1216
36,0,0,0,44,0,5,19,1215
37,0,0,0,57,0,5,19,1214
38,0,0,0,60,0,5,0,1213
39,0,105,0,65,0,5,0,1212
40,0,0,58,79,0,5,0,1223
41,0,0,0,86,0,5,0,1211
42,0,65,0,79,0,5,0,1209
43,0,0,0,1350,0,5,19,1208
44,0,0,15,413,0,8,0,1207
45,0,161,16,754,0,5,0,1206
46,0,0,0,890,0,5,19,1205
47,0,33,0,1354,0,5,19,1204
48,0,161,19,0,0,7,0,1203
49,0,0,19,976,0,8,0,1202
50,0,0,0,0,0,7,19,1201
51,0,0,0,412,0,8,19,1200
52,0,0,22,1269,0,5,0,1199
53,0,0,23,857,0,7,0,1170
54,0,0,24,1008,0,5,19,1196
55,0,161,32,252,0,5,19,1169
56,0,129,34,556,0,5,19,1140
57,0,0,35,1330,0,5,0,1138
58,0,0,0,250,0,8,19,1137
59,0,161,0,138,0,5,0,1136
60,0,0,42,928,0,1,0,1135
61,0,0,46,287,0,9,19,1134
62,0,0,45,1257,0,8,19,1133
63,0,0,47,1328,0,5,19,1132
64,0,0,48,1087,0,5,19,1131
65,0,0,50,1270,0,5,19,1130
66,0,0,0,189,0,0,19,1129
67,0,55,0,42,0,5,0,1128
68,0,105,13,609,1,3,0,1139
69,0,72,0,75,0,5,19,1127
70,0,0,57,1221,0,5,19,1125
71,0,0,60,962,0,5,0,1124
72,0,0,59,1265,0,5,0,1123
73,0,0,64,685,0,8,0,1122
74,0,161,0,94,0,5,0,1121
75,0,37,0,408,0,5,19,1120
76,0,0,0,101,0,5,19,1119
77,0,0,0,349,0,5,19,1118
78,0,0,0,112,0,5,0,1117
79,0,0,122,113,0,5,19,1116
80,0,0,0,773,0,9,0,1115
81,0,0,0,116,0,5,19,1126
82,0,0,0,111,0,5,0,1141
83,0,66,0,423,0,5,19,0
84,0,0,0,1130,0,5,19,1154
85,0,0,0,1305,0,5,19,1142
86,0,0,0,1305,0,5,19,1166
87,0,0,0,376,0,5,19,1165
88,0,160,0,1234,0,8,19,1164
89,0,0,0,0,0,7,19,1163
90,0,0,0,718,0,8,19,1162
91,0,0,0,1147,0,5,0,1161
92,0,0,0,1268,0,8,0,1160
93,0,69,0,97,0,8,0,1159
94,0,70,0,130,0,5,0,1158
95,0,0,0,134,0,2,0,1157
96,0,0,0,137,0,5,0,1156
97,0,0,0,138,0,5,0,1167
98,0,0,0,139,0,5,0,1155
99,0,0,134,150,0,8,19,1153
100,0,0,0,109,0,5,19,1152
101,0,120,0,1316,0,5,19,1151
102,0,0,0,58,0,5,19,1150
103,0,0,0,162,0,5,0,1149
104,0,0,0,166,0,5,0,1148
105,0,0,0,176,0,5,0,1147
106,0,0,0,747,0,8,19,1146
107,0,0,0,195,0,5,0,1145
108,0,0,0,196,0,5,19,1144
109,0,0,0,199,0,3,0,1143
110,0,0,0,199,0,3,19,1168
111,0,123,0,695,0,5,19,1225
112,0,124,0,737,0,5,19,1280
113,0,0,0,414,0,8,19,1226
114,0,0,0,475,0,9,0,1306
115,0,0,0,472,0,8,0,1305
116,0,0,0,1363,0,5,19,1304
117,0,0,0,225,0,8,0,1303
118,0,0,0,226,0,5,19,1302
119,0,0,0,714,0,9,0,1301
120,0,0,0,228,0,5,19,1300
121,0,0,0,180,0,5,0,1299
