Reversed left context;Reversed center;Left context;Center;Punct;Right context;Title;Author;Birthday;Header;Created;Sphere;Type;Topic;Publication;Publ_year;Medium;Ambiguity;Full context
 яндогес ежу ясьтитеус тенчан окйепуШ;морту; Шупейко начнет суетиться уже сегодня ; утром ;.  ; ;Н. Леонов, А. Макеев. Ментовская крыша (2004) ;Н. Леонов, А. Макеев ;1933 ;Ментовская крыша ;2004 ;художественная ;роман ; ;Н. Леонов, А. Макеев. Ментовская крыша ;2004 ;книга ;омонимия не снята; Вот увидишь _ Шупейко начнет суетиться уже сегодня утром.  [Н. Леонов, А. Макеев. Ментовская крыша (2004)] [омонимия не снята]
 удерс в лидохорп йыроток речев;морту; вечер, который проходил в среду ; утром ;».  ; ;С. Атасов. 1000 золотых анекдотов (2003) ;С. Атасов ; ;1000 золотых анекдотов ;2003 ;художественная ;миниатюра, анекдот ; ;Атасов С. 1000 золотых анекдотов ;2003 ;книга ;омонимия не снята;  «Мне очень понравился новогодний вечер, который проходил в среду утром».  [С. Атасов. 1000 золотых анекдотов (2003)] [омонимия не снята]
 дазан янд ирт ьседз оге;морту; его здесь три дня назад ; утром ;?  ; ;Н. Леонов, А. Макеев. Гроссмейстер сыска (2003) ;Н. Леонов, А. Макеев ;1933 ;Гроссмейстер сыска ;2003 ;художественная ;роман ; ;Н. Леонов, А. Макеев. Гроссмейстер сыска ;2003 ;книга ;омонимия не снята; _ Мы хотели бы узнать, часто ли вы его здесь встречали и не видели ли вы его здесь три дня назад утром?  [Н. Леонов, А. Макеев. Гроссмейстер сыска (2003)] [омонимия не снята]
 яндогес и ледив аречв оге;морту; его вчера видел и сегодня ; утром ;.  ; ;М. А. Булгаков. Мастер и Маргарита, часть 1 (1929-1940) ;М. А. Булгаков ;1891 ;Мастер и Маргарита, часть 1 ;1929-1940 ;художественная ;роман ; ;Булгаков М.А. Избранная проза ;1966 ;книга ;омонимия снята;  _ Нет, _ вздрогнув, ответил Рюхин, _ я его вчера видел и сегодня утром.  [М. А. Булгаков. Мастер и Маргарита, часть 1 (1929-1940)] [омонимия снята]
 итди довзар ан тен ешрог;морту; горше нет _ на развод идти ; утром ;.  ; ;Александр Солженицын. Один день Ивана Денисовича (1961) ;Александр Солженицын ;1918 ;Один день Ивана Денисовича ;1961 ;художественная ;рассказ ; ;Солженицын А.И. На краях ;2000 ;книга ;омонимия снята;  Вот этой минуты горше нет _ на развод идти утром.  [Александр Солженицын. Один день Ивана Денисовича (1961)] [омонимия снята]
 ьтахеыв ыб олыб огесв еенбоду;морту; удобнее всего было бы выехать ; утром ;.  ; ;Анатолий Рыбаков. Тяжелый песок (1975-1977) ;Анатолий Рыбаков ;1911 ;Тяжелый песок ;1975-1977 ;художественная ;роман ; ;Рыбаков А. Тяжелый песок. ;1982 ;книга ;омонимия снята;  От Чернигова до нашего города несколько часов езды, и, говоря откровенно, мне удобнее всего было бы выехать утром.  [Анатолий Рыбаков. Тяжелый песок (1975-1977)] [омонимия снята]
 онар юледен зереч зар ёще;морту; ещё раз через неделю, рано ; утром ;.  ; ;Сыщики поймали гулю в постели (2004) // «Московский комсомолец» в Нижнем Новгороде, 2004.07.30 ; ; ;Сыщики поймали гулю в постели ;2004 ;публицистика, нехудожественная ;заметка ;криминал ;«Московский комсомолец» в Нижнем Новгороде ;2004.07.30 ;газета ;омонимия снята; Понимая, что бежать преступнику в общем-то некуда, оперативники нагрянули в село ещё раз через неделю, рано утром.  [Сыщики поймали гулю в постели (2004) // «Московский комсомолец» в Нижнем Новгороде, 2004.07.30] [омонимия снята]
 ежад онсапозебен олыб хатсем хитэ;морту; этих местах было небезопасно даже ; утром ;.  ; ;Виктор Пелевин. Желтая стрела (1993) ;Виктор Пелевин ;1962 ;Желтая стрела ;1993 ;художественная ;повесть ; ;Виктор Пелевин. Собрание сочинений в 3-х томах. Т. 1 ;2001 ;книга ;омонимия снята; В этих местах было небезопасно даже утром.  [Виктор Пелевин. Желтая стрела (1993)] [омонимия снята]
 аречв яслачан оникямиШ еногилоп ан;морту; на полигоне Шимякино начался вчера ; утром ;.  ; ;Инна Левит. Пожар на Шимякинском полигоне (2002) // «Вечерняя Москва», 2002.04.11 ;Инна Левит ; ;Пожар на Шимякинском полигоне ;2002 ;публицистика, нехудожественная ;заметка ;природа ;«Вечерняя Москва» ;2002.04.11 ;газета ;омонимия снята;  Пожар на полигоне Шимякино начался вчера утром.  [Инна Левит. Пожар на Шимякинском полигоне (2002) // «Вечерняя Москва», 2002.04.11] [омонимия снята]
 яндогес окьлот йулажоп ябес в;морту; в себя, пожалуй, только сегодня ; утром ;.  ; ;Татьяна Устинова. Персональный ангел (2002) ;Татьяна Устинова ;1968 ;Персональный ангел ;2002 ;художественная ;роман ; ;Татьяна Устинова. Персональный ангел ;2002 ;книга ;омонимия не снята; Напряжение в ней как будто нарастало, и она по-настоящему пришла в себя, пожалуй, только сегодня утром.  [Татьяна Устинова. Персональный ангел (2002)] [омонимия не снята]
 миннар онтемазен ецинитсог в ясливяоп;морту; появился в гостинице незаметно, ранним ; утром ;.  ; ;Анатолий Азольский. Лопушок // «Новый Мир», 1998 ;Анатолий Азольский ;1930 ;Лопушок ;1998 ;художественная ;роман ; ;«Новый Мир» ;1998 ;журнал ;омонимия снята;  Иван Васильевич Шишлин появился в гостинице незаметно, ранним утром.  [Анатолий Азольский. Лопушок // «Новый Мир», 1998] [омонимия снята]
 йонм ос ясьтаминаз лижолдерп и;морту; и предложил заниматься со мной ; утром ;.  ; ;И. К. Архипова. Музыка жизни (1996) ;И. К. Архипова ;1925 ;Музыка жизни ;1996 ;публицистика, нехудожественная ;мемуары ; ;Ирина Архипова. Музыка жизни ;1998 ;книга ;омонимия снята;" Л. Ф. Савранский был ""утренней птахой"" и приходил в консерваторию очень рано, поэтому он и предложил заниматься со мной утром.  [И. К. Архипова. Музыка жизни (1996)] [омонимия снята]"
 мынженс мищюакревс мылтевс ым илахеыв;морту; выехали мы светлым, сверкающим, снежным ; утром ;.  ; ;В. Г. Короленко. Мороз (1900-1901) ;В. Г. Короленко ;1853 ;Мороз ;1900-1901 ;художественная ;рассказ ; ;В.Г. Короленко. Собрание сочинений в десяти томах. Том 1. Повести и рассказы ;1953 ;книга ;омонимия снята; С N-ской станции выехали мы светлым, сверкающим, снежным утром.  [В. Г. Короленко. Мороз (1900-1901)] [омонимия снята]
 митэ ьсолировт мин с от;морту; то с ним творилось этим ; утром ;.  ; ;Татьяна Устинова. Большое зло и мелкие пакости (2003) ;Татьяна Устинова ;1968 ;Большое зло и мелкие пакости ;2003 ;художественная ;роман ; ;Татьяна Устинова. Большое зло мелкие пакости ;2003 ;книга ;омонимия не снята; Что-то не то с ним творилось этим утром.  [Татьяна Устинова. Большое зло и мелкие пакости (2003)] [омонимия не снята]
 ьнед тот в онвор анизагам;морту; магазина ровно в тот день ; утром ;?  ; ;Вера Белоусова. Второй выстрел (2000) ;Вера Белоусова ;1958 ;Второй выстрел ;2000 ;художественная ;повесть ; ;Вера Белоусова. Второй выстрел ;2000 ;книга ;омонимия снята; Как это можно было так подгадать, чтобы открытка пришла из магазина ровно в тот день утром?  [Вера Белоусова. Второй выстрел (2000)] [омонимия снята]
 а ьчон ан ен ешчул;морту; лучше не на ночь, а ; утром ;.  ; ;Вера Белоусова. Второй выстрел (2000) ;Вера Белоусова ;1958 ;Второй выстрел ;2000 ;художественная ;повесть ; ;Вера Белоусова. Второй выстрел ;2000 ;книга ;омонимия снята; Только лучше не на ночь, а утром.  [Вера Белоусова. Второй выстрел (2000)] [омонимия снята]
 ачевад меч ееньловод еортв ёще;морту; ещё втрое довольнее, чем давеча ; утром ;.  ; ;Ф. М. Достоевский. Крокодил (1865) ;Ф. М. Достоевский ;1821 ;Крокодил ;1865 ;художественная ;рассказ ; ;Большая хрестоматия. Русская литература XIX века ;2003 ;книга ;омонимия снята; Он расхаживал по-домашнему в каком-то засаленном старом сюртучишке, но сам ещё втрое довольнее, чем давеча утром.  [Ф. М. Достоевский. Крокодил (1865)] [омонимия снята]
 ьсалунрев есвов ьтыб тежом или;морту; или, может быть, вовсе вернулась ; утром ;.  ; ;И. Э. Кио. Иллюзии без иллюзий (1995-1999) ;И. Э. Кио ;1944 ;Иллюзии без иллюзий ;1995-1999 ;публицистика, нехудожественная ;мемуары ; ;Игорь Кио. Иллюзии без иллюзий ;1999 ;книга ;омонимия снята; Помню, отец страшно распекал ассистентку _ молоденькую девочку, которая где-то там загуляла, поздно вернулась в гостиницу или, может быть, вовсе вернулась утром.  [И. Э. Кио. Иллюзии без иллюзий (1995-1999)] [омонимия снята]
 олыб как укур аз ьтязв;морту; взять за руку, как было ; утром ;.  ; ;Юрий Трифонов. Предварительные итоги (1970) ;Юрий Трифонов ;1925 ;Предварительные итоги ;1970 ;художественная ;повесть ; ;Трифонов Ю.А. Избранные произведения: В 2т ;1978 ;книга ;омонимия снята;  Она сидела, положив одну синюю ногу на другую, и у меня не было никакого желания притронуться к её коленям или взять за руку, как было утром.  [Юрий Трифонов. Предварительные итоги (1970)] [омонимия снята]
 отч ат ен аксёчирп и;морту; и причёска не та, что ; утром ;.  ; ;Юрий Трифонов. Предварительные итоги (1970) ;Юрий Трифонов ;1925 ;Предварительные итоги ;1970 ;художественная ;повесть ; ;Трифонов Ю.А. Избранные произведения: В 2т ;1978 ;книга ;омонимия снята; Я заметил, что и причёска не та, что утром.  [Юрий Трифонов. Предварительные итоги (1970)] [омонимия снята]
 ёще ланз мотэ бо от;морту; то об этом знал ещё ; утром ;.  ; ;Василий Гроссман. Жизнь и судьба, часть 2 (1960) ;Василий Гроссман ;1905 ;Жизнь и судьба, часть 2 ;1960 ;художественная ;роман ; ;Гроссман В. Жизнь и судьба ;1992 ;книга ;омонимия снята;  _ Вероятно, Лисс получил сообщение, что оберштурмбанфюрер примет его доклад здесь, я-то об этом знал ещё утром.  [Василий Гроссман. Жизнь и судьба, часть 2 (1960)] [омонимия снята]
 йондохыв а моречев ьнед йичобар;морту; рабочий день _ вечером, а выходной ; утром ;.  ; ;Наши дети: Подростки (2004) ; ; ;Наши дети: Подростки ;2004 ;электронная коммуникация, нехудожественная ;форум ;частная жизнь ; ;2004 ;электронный текст ;омонимия снята; ))) Спроси, плз, заодно сколько денег она берёт, и может ли ездить к нам на Динамо, рабочий день _ вечером, а выходной утром.  [Наши дети: Подростки (2004)] [омонимия снята]
 артваз линовз я ботч илавоберт;морту; требовали, чтоб я звонил завтра ; утром ;.  ; ;Юрий Трифонов. Предварительные итоги (1970) ;Юрий Трифонов ;1925 ;Предварительные итоги ;1970 ;художественная ;повесть ; ;Трифонов Ю.А. Избранные произведения: В 2т ;1978 ;книга ;омонимия снята; Они требовали, чтоб я звонил завтра утром.  [Юрий Трифонов. Предварительные итоги (1970)] [омонимия снята]
